"Nummers"	"Vindplaats"	"Caka"	"Sources"
"001"	"Sukawana A I"	"804"	"Goris (1954: 343)"
"002"	"Bebetin A I"	"818"	"Goris (1954: 343)"
"003"	"Trunjan A I"	"833"	"Goris (1954: 343)"
"004"	"Trunjan B"	"833"	"Goris (1954: 343)"
"005"	"Bangli, p. Kehen A"	"-"	"Goris (1954: 343)"
"006"	"Gobleg, p. Desa I"	"836"	"Goris (1954: 343)"
"007"	"Angsari I"	"-"	"Goris (1954: 343)"
"101"	"Srokodan A"	"837"	"Goris (1954: 343)"
"102"	"Babahan I"	"839"	"Goris (1954: 343)"
"103"	"Sanur (Belandjong)"	"835"	"Goris (1954: 343)"
"104"	"Sembiran A I"	"844"	"Goris (1954: 343)"
"105"	"Pengotan A I"	"846"	"Goris (1954: 343)"
"106"	"Batunja A I"	"855"	"Goris (1954: 343)"
"107"	"Dausa A I"	"857"	"Goris (1954: 343)"
"108"	"Serai A I"	"888?"	"Goris (1954: 343)"
"109"	"Dausa B I"	"864"	"Goris (1954: 343)"
"110"	"Gobleg, p. Batur A"	"-"	"Goris (1954: 343)"
"201"	"Sembiran B"	"873"	"Goris (1954: 343)"
"202"	"Manikliu A I"	"877"	"Goris (1954: 343)"
"203"	"Manikliu B I"	"877"	"Goris (1954: 343)"
"204"	"Manikliu C"	"877"	"Goris (1954: 343)"
"205"	"Manukaja"	"882"	"Goris (1954: 343)"
"206"	"Kintamani A"	"889?"	"Goris (1954: 343)"
"207"	"Kintamani B"	"889?"	"Goris (1954: 343)"
"208"	"Kintamani C"	"?"	"Goris (1954: 343)"
"209"	"Sembiran A II"	"897"	"Goris (1954: 343)"
"210"	"Gobleg, p. Desa II"	"905"	"Goris (1954: 343)"
"301"	"Bebetin A II"	"911"	"Goris (1954: 343)"
"302"	"Serai A II"	"915"	"Goris (1954: 343)"
"303"	"Buwahan A"	"916"	"Goris (1954: 343)"
"304"	"Sading A"	"923"	"Goris (1954: 343)"
"305"	"Batur p. Abang A"	"933"	"Goris (1954: 343)"
